Name,Definition,Number
Ace of Pentacles (Upright),"-------------------------------------------------
ACE OF PENTACLES (Upright)

The aces in the tarot are all indicative of new beginnings. When you draw any of them, it means that you are at a point in your life where a new cycle is beginning - you are about to start afresh.

Because the suit of pentacles is primarily concerned with all things material (not just financial, but also with the sensual), this reset could manifest itself as a new career, the undertaking of a new venture, or the start of putting more care into your health. Wherever this beginning takes place, the Ace of Pentacles assures that what is to come will bring great abundance and opportunity. 

To see the Ace of Pentacles indicates a seed being planted in the material world, in your feelings of security and stability. Like a seed, this opportunity must also be nurtured, and sometimes invested in with energy, time or funds. Watering this seed has the potential to be very rewarding - for anything that is grown on this energy is meant to be stable, secure and give a good yield. Prosperity is coming your way.

One also has to make sure that they are psychologically prepared for the opportunities that are appearing. To be able to harvest the gift of the pentacles, we need to be filled with the calm that stability brings - this is a kind of spiritual prosperity, if you will. This kind of mindset can mean we become open to trying new things and not sticking to the old, washed out routine.
-------------------------------------------------",0
Ace of Pentacles (Reversed),"-------------------------------------------------
ACE OF PENTACLES (Reversed)

Though the Ace of Pentacles usually heralds an opportunity of some sort that would lead to great gains, to see it reversed can mean that this might be a poor investment, requiring much more resources than you had initially reserved - or alternatively, you might be missing your chance.

When one gets a reversed Ace of Pentacles, it may mean that they are about to face hard financial times as well as a lot of elusive opportunities. At this time, you are being advised against taking large financial risks and to think all your choices through when you are given a deal. 

It might also be a good time for an individual to seek advice from others and avoid making rushed decisions since the time isn’t just right. It wouldn’t be a good time for one to jump into a new job or business opportunity - especially if the main motivation for joining is to pursue prospects of higher financial gain. It might just be an illusion that can lead to your downfall.
-------------------------------------------------",1
Two of Pentacles (Upright),"-------------------------------------------------
TWO OF PENTACLES (Upright)

The Two of Pentacles is a card about balance - the coins are displayed in a manner that is precarious, any small change in wind or weight can tip and send them falling. For those that may have more coins to go around, they can afford to be less careful, but at this moment things may be tight. Wealth too, is a kind of energy, and it is the kind whose goings in and goings out are easiest and most tangible to see. 

There is a possibility that you are trying hard to keep the two aspects of your life in a perfect and delicate balance. This could be your career, money, love and health. The balancing act depicted in the card suggests that there are two major factors that you are deeply concerned about. It is time for you to step back to have a better perspective of the situation. While you may initially think it will save you time, multi-tasking may just worsen the situation. Cut down on your tasks and concentrate on these two factors that are troubling you.

You've done a good job keeping things stable, for you seem to be able to adapt well to all the changes that ask you to continually re-balance.

When it comes to love, the Two of Pentacles is associated with your inability to provide the energy and time required to make your partner happy. Your partnership should be your main priority, but with all the madness in other areas of your life, you are finding it hard to devote your attention to your loved ones. With regards to finances, you should pay heed on the bottom line. You should have a clear picture on your financial state. Plan your finances accordingly, control your expenditures and increase your stream of income to create a solid foundation for your future. In terms of health, this card is asking you to find a balance between your own well-being and your responsibilities. It's easy to make yourself the last priority when you have so many things happening around you. 
-------------------------------------------------",2
Two of Pentacles (Reversed),"-------------------------------------------------
TWO OF PENTACLES (Reversed)

When the Two of Pentacles is in reversed position, it can mean that you are trying to juggle much too many things in your life. You need to take at least a short break to eliminate the stress. In case you are feeling that you can’t handle everything, you need to consider your own well-being and provide yourself with a time to breathe. In your work, the Two of Pentacles reversal can be a positive omen. Avoid committing to a lot of things since it will overwhelm you.

In your finances, you need to learn how to live in your capacity. The Two of Pentacles reversal meaning reminds you to be aware of your income and expenditures since overspending can become a large issue, especially when you are being pulled in many directions.
-------------------------------------------------",3
Three of Pentacles (Upright),"
-------------------------------------------------
THREE OF PENTACLES (Upright)

The threes in the tarot represent the successful completion of a goal - it takes the sources of energy in the ace and the twos and adds a foundational factor, and usually involves a group of some sort. In this scenario, the upright three of pentacles meaning is that there is a successful achievement of all the requirements to pursue your business, deal, venture or any other kind of endeavor. Successful projects usually require different kinds of expertise, and at this moment, the Three of Pentacles means that all the skills required are coming together. In short, you are enjoying enjoying working together as part of a team, and also in the initial success of this bigger project.

The three pentacles reveals a successful beginning towards achieving your goals, it is a sign of encouragement that you should press on with the same effort without giving up. You may struggle to accomplish your goals as an individual, but the Three of Pentacles also teaches people not ignore the talents of the others that surround you. You need the collaboration of others, with diverse viewpoints, experiences and expertise to accomplish something more than you could have ever dreamed of.
-------------------------------------------------",4
Three of Pentacles (Reversed),"-------------------------------------------------
THREE OF PENTACLES (Reversed)

The Three of Pentacles reversal meaning indicates that there is lack of team work; it shows that people are working against each other and undermining the project along the way. There seems to be too much competition between them - each person is trying to display superiority. This result to scarcity of resources - too many people are viewing their project partners as competitors.

When you are in such a team, it is good to ensure that you try as much as possible to inspire camaraderie. With this constant bickering, it is hard for the projects in the reversed Three of Pentacles to come into completion. You may find that people are not listening to others, and everyone is working for themselves. This difference in motives and ambitions yields complications. If you can be the first to reach out and give everyone a chance to be heard and considered, perhaps this project has a chance to move forward.
-------------------------------------------------",5
Four of Pentacles (Upright),"-------------------------------------------------
FOUR OF PENTACLES (Upright)

The Four of Pentacles card is capable of generating both negative and positive perceptions. On one hand, the card signifies that you have successfully managed to accomplish much of your goals and you have managed to attain a significant material wealth in the process. However, on the other hand, there is a significant chance that you will start valuing things only for their material worth. You have worked hard to get to the point where you are now, and it is absolutely natural for your to desire to make sure that you remain stable. But this also has a chance to turn you into an overly possessive or greedy person who wants to ensure that no one is capable of taking away your own wealth.

The Four of Pentacles is also a card which shows that you are currently in a position in which you have solid investments and that you are financially stable. Because of your new-found wealth, you are being particularly conservative about money, and you are most definitely not inclined to gamble when it comes to any kind of financial matters. You are protective of what you have managed to accumulate throughout time, and you desire to steadily increase your overall net worth.

Be aware that without risk, there is no reward - if you spend too much of your time attempting to conserve, you may become a prisoner to your own material possessions. Wealth is a kind of energy as well, and we create what we express.
-------------------------------------------------",6
Four of Pentacles (Reversed),"-------------------------------------------------
FOUR OF PENTACLES (Reversed)

When reversed, the Four of Pentacles veers sharply into the negative meanings of the card. Instead of being protective you become greedy, and you succumb to stinginess. You are haunted by certain fears of poverty which compels you to be nothing but materialistic. You are incredibly self-protective and defensive in terms of materialistic things, and you are not opening up to trust other people out of fear that they may be taking them away. 

On the other side, you might actually be spending too much money, and you need to start getting a proper hold of your actual financial resources. In any case, the card is capable of inducing both positive and negative associations, and you need to be very accountable and considerate if you get the Four of Pentacles in a reading.
-------------------------------------------------",7
Five of Pentacles (Upright),"-------------------------------------------------
FIVE OF PENTACLES (Upright)

Whenever the Five of Pentacles shows up in a reading, it suggests a time of hardship and insecurity. The meaning of this card can be deep loneliness, illness, poverty or loss. Your status might take a turn for the worse in the near future. There is a chance that you will lose something significant, whether it is financial wealth or an important item. Deterioration of your health might be already ongoing or be very sudden.

The person with crutches has a lot of symbolism. This person may be feeling cursed - that their bad luck is something that they can’t shake off easily. The Five of Pentacles symbolism can also be that of old debts, high credit card balances, or unpaid loans. It is a reminder that you should consider sorting out your finances. Mistakes you have made in the past might also haunt you.

The Five of Pentacles is not a good sign when it comes to questions relating to love. It can be an indicator that the person you love is not feeling the same way. And just like the figures on the card, you might feel like you were left out in the cold.
-------------------------------------------------",8
Five of Pentacles (Reversed),"-------------------------------------------------
FIVE OF PENTACLES (Reversed)

Unlike the upright version, the Five of Pentacles reversal meaning can be a positive one. The snow is now on top, which represents brightness coming into your life. The stained glass now symbolizes a passageway with the Pentacles serving as the light at the end of the tunnel. The reversed Five of Pentacles means change is coming.

When drawing this card, it can mean that the worst is now over, but don’t expect changes to happen overnight. It will take some time before you can recover, and find strength once again. This means you will be able to regain stability in terms of property, health, relationships, business, or finances.

Slow recovery from illness can be indicated by the Five of Pentacles reversed as well. You will be able to find a treatment that can lead to recovery. If you are caring for someone, then it can mean that help will be made available, whether it is financial or practical assistance.
-------------------------------------------------",9
