Name,Definition,Number
Ace of Wands (Upright),"-------------------------------------------------
ACE OF WANDS (Upright)

Wands symbolize creativity, and the Ace of Wands is the boldest among the cards in the suit. It is not the kind of creativity that you learn from school or as a hobby. It is bravely finding your own voice, it creates a place where you can develop your own vision. In other words, it is associated with willpower, and creativity in the cosmic sense.

When you draw the Ace of Wands, it is an indicator that you should just go for it. Take the chance and pursue an idea that you have in mind. Take the first steps to start the creative project. The Ace of Wands calls out to you to follow your instincts. If you think that the project that you've been dreaming of is a good idea, and then just go ahead and do it. 

The Ace of Wands can also perhaps mean that you are waiting for a sign to start a project. To draw this card pushes you to act now, instead of brooding over research and more planning. Take small steps today, and then continue to grow your ideas over time. Action is what helps you grow, and build momentum. Don't remain in the abstract.

Another Ace of Wands meaning is the occurrence of a breakthrough moment in your life. It is a time when you are motivated and inspired about a passion project or idea. You are excited about the opportunities that are opening up for you in the near future.
-------------------------------------------------",0
Ace of Wands (Reversed),"-------------------------------------------------
ACE OF WANDS (Reversed)

The reversed Ace of Wands indicates trials and tribulations that you will face in the near future. You might not have any direction, which leads to being uninspired or unmotivated. At this point of your life, you might not know what you really want to do. You don’t know how to get out of the slump.

In the case that you already have a goal, you are not excited to achieve it. When you draw a reversed Ace of Wands, you should consider taking some time off to allow inspiration to come to you. You feel weighed down by your current commitments and responsibilities that you can’t come up with new ideas, or muster the passion to push forward in your projects.

The Ace of Wands reversal meaning can also indicate delays with your current projects. You want to finish your tasks, but there are things that get in your way. Or you have an idea but don’t know how to execute it and make it a reality. When this is the case, you should be patient and wait for the right time.
-------------------------------------------------",1
Two of Wands (Upright),"-------------------------------------------------
TWO OF WANDS (Upright)

The Two of Wands is a more mature version of the ace of wands, meaning that that this tarot card is all about planning and moving forward – progression. Look at it this way; you have already set out to achieve a particular task, which means you have turned an idea into a realistic plan. Such a plan will require fulfillment and therefore you have to progress from just having the plan to actually achieving what you set out for.

Discovery is being considered as another two of wands meaning. This is because it means that you are stepping out of your cocoon and exploring new experiences and worlds. While the beginning might seem tough and difficult, the Two of Wands card encourages you to strive on and push forward.

The Two of Wands card also means that you are beginning to realize your objectives and long-term goals before you set out to achieve these objectives. In other words, you have strived to get to where you are and now, moving forward, you have your long-term goals in mind.

In summary, the Two of Wands meaning revolves around making decisions. In other words, you are either satisfied with your current knowledge, or you are moving forward and taking risks. It means, leaving our comfort zones and exploring new territory.
-------------------------------------------------",2
Two of Wands (Reversed),"-------------------------------------------------
TWO OF WANDS (Reversed)

The Two of Wands reversed meaning suggests the need to set up long-term goals. Begin the process of setting up your goals by identifying what to you is important. Proceed by planning how you intend on achieving such goals.

Another Two of Wands reversal meaning suggests that you have ignored important fine points associated with planning your future. Lack of proper planning could be the reason for your downfall.

Other interpretations can include either overconfidence or lack of patience, both are possible in bringing you disarray in your path forward.
-------------------------------------------------",3
Three of Wands (Upright),"-------------------------------------------------
THREE OF WANDS (Upright)

The meaning of the Three of Wands hints that you are planning or going to plan for the future with more conviction. This could mean that everything around your plans is going smoothly, as you have taken the time to plan your future, and are taking steps to turn plans into action. It hints that you are perhaps creating a stable foundation for yourself.

The symbolism within the Three of Wands is that opportunities that can take place to widen your horizons in many areas. It also is a warning to keep your mind open as better opportunities could open up to you. As you take steps towards achieving what you set out to do, you are also becoming more aware of opportunities that are coming your way, and this could be take you out of your comfort zone. This pushes you to sometimes embrace change, and to start thinking in the long-term.

The Three of Wands can show that you are in control and have a strong position, just like the character that overlooks and stands strong. The Three of Wands is one of the main cards of foresight and vision.

The last Three of Wands meaning is that of travel in search of what you are seeking. There is a sense of leaving home, a voyage that must be undertaken. Great things do not happen to those that simply wait for them, you must expand. For most readings, this shows that you may travel to a new land over the water and that you may find an opportunity during your travels.
-------------------------------------------------",4
Three of Wands (Reversed),"-------------------------------------------------
THREE OF WANDS (Reversed)

The reversed Three of Wands indicates that you may have been embarking on personal journeys or developments, but you have not received the achievements that you were hoping for. This could be due to delays or road blocks. Despite all this, the card reminds you that all of your work has not been for nothing, but rather that it has helped you with your personal strength and fortitude.

The Three of Wands reversed can also mean you need to take some time to plan your future. This is especially true if you have not started on your long term goals or have become overwhelmed by the tasks that you face now, or will have to face soon. You are only reacting and not acting with thought and deliberation.

However, the most common Three of Wands reversed meaning is a nudge to include planning for future changes, and to watch for better options in case that they show up. The figure on the Three of Wands knows this and always keeps his eyes open for how the future could change, and it is a worthy lesson to learn.
-------------------------------------------------",5
Four of Wands (Upright),"-------------------------------------------------
FOUR OF WANDS (Upright)

The overall meaning of the Four of Wands is that it heralds celebration as well as a harmonious, happy and relaxed home environment. In terms of numerology, the number four symbolizes stability as well as particularly reliable foundations. These are associated with a period of happiness and balance.

The symbolism within the Four of Wands poses that this is the perfect time for you to get together with close people such as friends and family. This could be with or without any special occasion. Oftentimes the card is known to reflect a period of holidays when you are together with your friends and family for an extended period of time. It might also be suggesting for you to invite your closest friends for a great and intimate dinner and share a laugh or two.

Furthermore, if you have been working on a certain project, this card entails that you will be reaching a particularly important milestone. This is going to provide you with grounds for celebration which is also to be considered. You have managed to complete a proper and paramount phase of that project, and meaning you have every reason to be feeling proud and satisfied, which are amongst the general feelings induced and reflected by the Four of Wands card.
-------------------------------------------------",6
Four of Wands (Reversed),"-------------------------------------------------
FOUR OF WANDS (Reversed)

If the upright position of the card reflects balance, stability, and harmony, the reversal position of Four of Wands implies that there is a breakdown or complete lack of harmony in your family or in your home. It’s highly likely that there is a lot of tension between the members of your family or other loved ones. If you have completed something that is important to you, you are expecting to share it with those that are closest to you, and to come home to a welcome celebration, but instead, you find a lack of support. This may leave you feeling rather uncertain when it comes to your own relationships as well as the things that you can and cannot depend on.
-------------------------------------------------",7
Five of Wands (Upright),"-------------------------------------------------
FIVE OF WANDS (Upright)

From the image on the card, the symbolism in the Five of Wands suggests that there is form of conflict in one’s life. This may be an existing conflict or one that is brewing and may eventually blow up in one's face. It may also depict a problem in communication, for example in a situation where no one really wants to listen to the other - meaning that no agreement or understanding takes place. The five men may signify problems in a group of people who are not patient enough to listen to what anyone else is saying. They only want to be heard, and since none of the others will listen, they all argue at once.

Much of this can be solved by the querent taking the first step to try and initiate communication in such a way that you suggest that everyone airs out what they have to say, one at a time. By doing this, you will be able to address the problem, and everyone will be heard. Meaning they’ll all be satisfied.

The Five of Wands can also mean that you are or will be facing competition in an area that you are not used to. This can be at work or school where you will meet people with the same abilities as you who pose quite a challenge - leading to feelings of jealousy, greed, and envy. This tarot card encourages that you accept the competition as a way for you to improve yourself without feeling any malice towards them. This means that you should learn how to cope with them in a civil way.

The Five of Wands meaning could also be a personal struggle that you are dealing with on your own. This can be on a number of issues that affect you, hence you need to address them and find a solution for them. You will need to identify where the problems are and offer a solution that will handle the case.
-------------------------------------------------",8
Five of Wands (Reversed),"-------------------------------------------------
FIVE OF WANDS (Reversed)

The Five of Wands reversed meaning can be that your natural method of dealing with disagreements is avoiding any kind of conflict by getting away from that place as fast as you can. Sometimes this can be regarded as a good thing, but other times, it may lead to a number of issues that are brewing up within you, for which you will have to address soon. On the other hand, it can also mean that you have worked through your troubles and that you do not have any more issues to worry about.
-------------------------------------------------",9
